Name,Hot Air Balloons Adventure
Start Date,11/1/19
End Date,10/1/24

Date,First-Time Downloads
10/1/19,4.0
11/1/19,11.0
12/1/19,18.0
1/1/20,13.0
2/1/20,15.0
3/1/20,8.0
4/1/20,12.0
5/1/20,9.0
6/1/20,17.0
7/1/20,7.0
8/1/20,11.0
9/1/20,16.0
10/1/20,9.0
11/1/20,14.0
12/1/20,13.0
1/1/21,12.0
2/1/21,16.0
3/1/21,17.0
4/1/21,17.0
5/1/21,12.0
6/1/21,18.0
7/1/21,12.0
8/1/21,13.0
9/1/21,20.0
10/1/21,8.0
11/1/21,12.0
12/1/21,19.0
1/1/22,13.0
2/1/22,8.0
3/1/22,18.0
4/1/22,14.0
5/1/22,17.0
6/1/22,13.0
7/1/22,15.0
8/1/22,15.0
9/1/22,12.0
10/1/22,11.0
11/1/22,11.0
12/1/22,9.0
1/1/23,18.0
2/1/23,10.0
3/1/23,13.0
4/1/23,7.0
5/1/23,12.0
6/1/23,4.0
7/1/23,6.0
8/1/23,11.0
9/1/23,11.0
10/1/23,9.0
11/1/23,11.0
12/1/23,11.0
1/1/24,5.0
2/1/24,6.0
3/1/24,11.0
4/1/24,7.0
5/1/24,3.0
6/1/24,3.0
7/1/24,3.0
8/1/24,5.0
9/1/24,9.0
10/1/24,5.0
